block	pop	Singletons	Doubletons	MAC=3-5	MAC=6-10	MAC=11-20	MAC=21-MAF=0.5%	MAF=0.5%-1%	fun	rep	data
0	NFE	558	190	186	87	52	68	9	both	.	gnomAD
1	NFE	1056	343	332	144	86	89	14	both	.	gnomAD
2	NFE	971	339	288	118	55	79	4	both	.	gnomAD
3	NFE	2612	792	751	322	143	163	9	both	.	gnomAD
4	NFE	567	153	153	57	29	37	3	both	.	gnomAD
5	NFE	1746	482	484	204	90	119	12	both	.	gnomAD
6	NFE	1086	338	343	123	62	76	9	both	.	gnomAD
7	NFE	2234	655	668	247	122	149	10	both	.	gnomAD
9	NFE	968	293	315	146	87	78	3	both	.	gnomAD
10	NFE	563	189	155	51	31	37	2	both	.	gnomAD
11	NFE	417	124	139	59	29	46	2	both	.	gnomAD
12	NFE	682	204	192	78	45	55	6	both	.	gnomAD
13	NFE	1217	400	441	201	83	106	9	both	.	gnomAD
14	NFE	1771	481	511	206	109	122	11	both	.	gnomAD
15	NFE	1509	518	541	235	135	149	8	both	.	gnomAD
16	NFE	1380	414	394	146	103	99	6	both	.	gnomAD
18	NFE	1970	648	615	258	131	139	11	both	.	gnomAD
19	NFE	1162	387	356	145	69	83	6	both	.	gnomAD
20	NFE	778	221	218	92	40	67	4	both	.	gnomAD
21	NFE	468	140	111	52	22	43	4	both	.	gnomAD
22	NFE	465	102	97	56	22	35	8	both	.	gnomAD
24	NFE	419	113	142	48	23	44	2	both	.	gnomAD
25	NFE	1635	501	422	171	87	104	8	both	.	gnomAD
26	NFE	1533	497	475	185	102	133	11	both	.	gnomAD
27	NFE	1430	407	372	145	84	105	5	both	.	gnomAD
28	NFE	4054	1003	862	350	182	251	24	both	.	gnomAD
29	NFE	772	203	193	79	53	58	3	both	.	gnomAD
30	NFE	1976	552	496	214	132	138	10	both	.	gnomAD
31	NFE	4203	1262	1143	420	226	275	16	both	.	gnomAD
32	NFE	2042	643	578	245	102	159	19	both	.	gnomAD
33	NFE	4083	1082	964	411	212	278	24	both	.	gnomAD
34	NFE	2177	596	512	185	120	110	7	both	.	gnomAD
35	NFE	440	135	107	48	20	38	1	both	.	gnomAD
36	NFE	1825	538	502	187	103	133	13	both	.	gnomAD
37	NFE	1326	422	399	158	88	92	9	both	.	gnomAD
38	NFE	2327	682	662	284	126	155	15	both	.	gnomAD
39	NFE	1385	401	426	173	113	118	12	both	.	gnomAD
40	NFE	1073	315	313	116	58	60	3	both	.	gnomAD
41	NFE	1177	346	425	170	100	121	11	both	.	gnomAD
42	NFE	2376	711	695	274	146	193	9	both	.	gnomAD
43	NFE	1127	300	262	116	46	84	5	both	.	gnomAD
44	NFE	1724	513	485	198	104	120	12	both	.	gnomAD
45	NFE	2408	644	617	232	105	150	18	both	.	gnomAD
46	NFE	3272	935	854	329	153	190	12	both	.	gnomAD
47	NFE	1651	399	351	169	80	116	7	both	.	gnomAD
48	NFE	1694	433	328	147	83	149	13	both	.	gnomAD
49	NFE	1048	243	219	90	54	69	3	both	.	gnomAD
51	NFE	390	100	105	29	9	23	3	both	.	gnomAD
52	NFE	304	82	69	23	13	26	2	both	.	gnomAD
53	NFE	227	75	80	23	18	20	0	both	.	gnomAD
54	NFE	375	94	93	32	19	17	2	both	.	gnomAD
55	NFE	1553	491	432	179	89	119	9	both	.	gnomAD
56	NFE	414	109	106	43	26	35	2	both	.	gnomAD
58	NFE	1582	464	433	179	114	110	7	both	.	gnomAD
59	NFE	1108	342	310	135	59	83	7	both	.	gnomAD
60	NFE	3339	1045	904	396	179	256	13	both	.	gnomAD
61	NFE	5186	1318	1258	463	279	306	22	both	.	gnomAD
62	NFE	4057	1182	1166	460	217	282	16	both	.	gnomAD
63	NFE	2996	840	815	324	170	275	19	both	.	gnomAD
64	NFE	2701	778	714	304	151	175	19	both	.	gnomAD
65	NFE	1933	594	605	263	120	175	20	both	.	gnomAD
66	NFE	4045	1218	1132	441	253	303	14	both	.	gnomAD
67	NFE	2544	715	710	339	174	256	10	both	.	gnomAD
68	NFE	2647	734	595	248	129	204	9	both	.	gnomAD
69	NFE	745	214	198	98	41	84	2	both	.	gnomAD
70	NFE	878	262	248	120	67	66	5	both	.	gnomAD
71	NFE	4137	1176	1075	387	214	233	23	both	.	gnomAD
72	NFE	874	225	194	95	47	62	5	both	.	gnomAD
73	NFE	1212	306	287	113	48	62	6	both	.	gnomAD
74	NFE	1535	424	436	159	96	121	4	both	.	gnomAD
75	NFE	1276	353	333	133	80	123	4	both	.	gnomAD
76	NFE	1724	470	442	174	107	111	7	both	.	gnomAD
77	NFE	1893	592	489	207	101	143	12	both	.	gnomAD
78	NFE	2267	636	564	213	126	156	16	both	.	gnomAD
79	NFE	3916	1143	998	382	231	305	33	both	.	gnomAD
80	NFE	1363	387	415	147	71	122	6	both	.	gnomAD
81	NFE	1221	373	330	144	69	83	10	both	.	gnomAD
82	NFE	554	141	139	76	33	42	1	both	.	gnomAD
83	NFE	579	153	134	56	37	45	2	both	.	gnomAD
84	NFE	400	104	111	53	23	39	1	both	.	gnomAD
85	NFE	1363	362	355	134	79	129	15	both	.	gnomAD
86	NFE	1647	416	405	151	105	104	11	both	.	gnomAD
87	NFE	969	261	208	90	66	70	3	both	.	gnomAD
88	NFE	1110	309	270	111	75	77	2	both	.	gnomAD
89	NFE	684	162	158	65	39	58	4	both	.	gnomAD
90	NFE	956	242	248	104	61	78	6	both	.	gnomAD
91	NFE	501	139	132	61	31	36	1	both	.	gnomAD
93	NFE	292	92	87	30	12	26	0	both	.	gnomAD
94	NFE	521	120	112	46	10	42	3	both	.	gnomAD
95	NFE	1544	449	442	208	116	166	11	both	.	gnomAD
96	NFE	1066	277	294	130	67	103	12	both	.	gnomAD
97	NFE	884	351	305	127	73	126	17	both	.	gnomAD
98	NFE	1775	501	497	204	111	134	8	both	.	gnomAD
99	NFE	1931	575	510	192	111	145	21	both	.	gnomAD
100	NFE	1627	427	372	150	76	92	14	both	.	gnomAD
101	NFE	1045	283	251	129	69	82	6	both	.	gnomAD
102	NFE	1278	345	294	133	90	103	18	both	.	gnomAD
103	NFE	777	170	165	64	52	60	5	both	.	gnomAD
104	NFE	614	161	123	44	27	39	2	both	.	gnomAD
105	NFE	4046	1033	874	361	191	272	26	both	.	gnomAD
106	NFE	3003	820	791	273	156	239	15	both	.	gnomAD
0	EAS	220	47	45	30	11	18	2	both	.	gnomAD
1	EAS	361	91	87	44	28	33	11	both	.	gnomAD
2	EAS	344	90	85	37	32	33	5	both	.	gnomAD
3	EAS	963	213	191	101	60	63	8	both	.	gnomAD
4	EAS	213	46	23	8	7	10	1	both	.	gnomAD
5	EAS	590	140	126	55	35	32	2	both	.	gnomAD
6	EAS	369	94	90	39	23	28	4	both	.	gnomAD
7	EAS	759	185	157	82	55	53	5	both	.	gnomAD
9	EAS	386	81	83	39	25	32	3	both	.	gnomAD
10	EAS	178	31	34	17	13	17	1	both	.	gnomAD
11	EAS	161	54	38	15	10	17	2	both	.	gnomAD
12	EAS	227	52	64	31	13	16	2	both	.	gnomAD
13	EAS	460	119	126	49	21	28	6	both	.	gnomAD
14	EAS	607	153	125	57	43	37	10	both	.	gnomAD
15	EAS	605	185	145	69	60	41	9	both	.	gnomAD
16	EAS	564	103	127	46	33	39	7	both	.	gnomAD
18	EAS	732	177	196	87	50	47	13	both	.	gnomAD
19	EAS	422	83	87	56	23	20	6	both	.	gnomAD
20	EAS	262	64	51	27	20	17	3	both	.	gnomAD
21	EAS	141	26	29	17	14	12	1	both	.	gnomAD
22	EAS	147	34	26	21	13	8	3	both	.	gnomAD
24	EAS	134	40	35	13	9	13	1	both	.	gnomAD
25	EAS	541	129	104	46	34	41	13	both	.	gnomAD
26	EAS	601	122	146	77	28	49	5	both	.	gnomAD
27	EAS	477	108	86	39	34	43	7	both	.	gnomAD
28	EAS	1148	230	217	91	66	70	20	both	.	gnomAD
29	EAS	234	51	54	32	19	19	2	both	.	gnomAD
30	EAS	629	158	141	67	30	48	10	both	.	gnomAD
31	EAS	1315	312	270	134	97	85	16	both	.	gnomAD
32	EAS	700	161	138	73	55	41	13	both	.	gnomAD
33	EAS	1297	276	253	129	61	77	21	both	.	gnomAD
34	EAS	707	133	119	61	37	42	7	both	.	gnomAD
35	EAS	160	38	32	14	8	9	2	both	.	gnomAD
36	EAS	532	128	142	56	42	33	9	both	.	gnomAD
37	EAS	422	82	110	43	39	45	5	both	.	gnomAD
38	EAS	757	196	178	89	59	50	7	both	.	gnomAD
39	EAS	461	88	125	45	25	44	13	both	.	gnomAD
40	EAS	382	71	71	32	22	22	4	both	.	gnomAD
41	EAS	454	100	114	55	33	29	10	both	.	gnomAD
42	EAS	772	193	178	89	55	45	15	both	.	gnomAD
43	EAS	352	61	74	35	18	32	6	both	.	gnomAD
44	EAS	614	114	121	59	44	22	6	both	.	gnomAD
45	EAS	773	175	144	76	41	46	5	both	.	gnomAD
46	EAS	1000	222	235	127	55	56	14	both	.	gnomAD
47	EAS	473	102	95	44	48	43	9	both	.	gnomAD
48	EAS	489	108	109	46	31	43	20	both	.	gnomAD
49	EAS	276	64	59	32	27	21	7	both	.	gnomAD
51	EAS	112	26	18	9	6	8	0	both	.	gnomAD
52	EAS	97	19	16	6	5	9	0	both	.	gnomAD
53	EAS	86	15	18	5	5	11	0	both	.	gnomAD
54	EAS	95	15	14	8	8	5	1	both	.	gnomAD
55	EAS	521	124	115	49	43	28	9	both	.	gnomAD
56	EAS	123	24	19	7	7	4	1	both	.	gnomAD
58	EAS	502	105	105	45	39	24	8	both	.	gnomAD
